"Phase","FLDNAME","TBLNAME","CRFNAME","TEXT","TYPE","LENGTH","CODE","UNITS","status"
"ADNI1","USERID2","AALUSER","","","T","100","","",""
"ADNI1","USERDATE2","AALUSER","","Date record last updated","S","0","","",""
"ADNI1","USERNAME","AALUSER","","","T","100","","",""
"ADNI1","ID","AALVALUE","","Record ID","N","38","""crfname"","""",""indexes"",""adni_aalvalue_idx=VALUE"",""notnullcols"",""ID,USERID,USERDATE,VALUE""","",""
"ADNI1","USERDATE","AALVALUE","","Date record created","S","0","","",""
"ADNI1","USERID2","AALVALUE","","","T","100","","",""
"ADNI1","USERDATE2","AALVALUE","","Date record last updated","S","0","","",""
"ADNI1","VALUE","AALVALUE","","","T","1000000000","","",""
"ADNI1","ID","ADAS","ADAS-Cognitive Behavior","Record ID","N","38","""crfname"",""ADAS-Cognitive Behavior"",""indexes"",""adni_adas_idx=RID,VISCODE,ENTRY"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE""","",""
"ADNI1","RID","ADAS","ADAS-Cognitive Behavior","Participant roster ID","N","38 digits","","",""
"ADNI1","SITEID","ADAS","ADAS-Cognitive Behavior","Site ID","N","38 digits","","",""
"ADNI1","VISCODE","ADAS","ADAS-Cognitive Behavior","Visit code","T","20 characters","","",""
"ADNI1","ENTRY","ADAS","ADAS-Cognitive Behavior","","N","1 digit","","",""
"ADNI1","VERIFY","ADAS","ADAS-Cognitive Behavior","","N","1 digit","","",""
"ADNI1","USERID","ADAS","ADAS-Cognitive Behavior","","T","100 characters","","",""
"ADNI1","USERDATE","ADAS","ADAS-Cognitive Behavior","Date record created","S","100 digits","","",""
"ADNI1","EXAMINIT","ADAS","ADAS-Cognitive Behavior","Examiner Initials","T","3","","",""
"ADNI1","EXAMDATE","ADAS","ADAS-Cognitive Behavior","Examination Date","D","10","","",""
"ADNI1","COT1LIST","ADAS","ADAS-Cognitive Behavior","Trial 1","T","20","1=BUTTER; 2=ARM; 3=SHORE; 4=LETTER; 5=QUEEN; 6=CABIN; 7=POLE; 8=TICKET; 9=GRASS; 10=ENGINE","",""
"ADNI1","COT2LIST","ADAS","ADAS-Cognitive Behavior","Trial 2","T","20","1=POLE; 2=LETTER; 3=BUTTER; 4=QUEEN; 5=ARM; 6=SHORE; 7=GRASS; 8=CABIN; 9=TICKET; 10=ENGINE","",""
"ADNI1","COT3LIST","ADAS","ADAS-Cognitive Behavior","Trial 3","T","20","1=SHORE; 2=LETTER; 3=ARM; 4=CABIN; 5=POLE; 6=TICKET; 7=ENGINE; 8=GRASS; 9=BUTTER; 10=QUEEN","",""
"ADNI1","COT1SCOR","ADAS","ADAS-Cognitive Behavior","Total <!--Trial 1-->","N","2","0..10","",""
"ADNI1","COT2SCOR","ADAS","ADAS-Cognitive Behavior","Total <!--Trial 2-->","N","2","0..10","",""
"ADNI1","COT3SCOR","ADAS","ADAS-Cognitive Behavior","Total <!--Trial 1-->","N","2","0..10","",""
"ADNI1","COP1COMP","ADAS","ADAS-Cognitive Behavior","If any trial not administered, check one:","N","1","1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 4=Participant unable to complete 3 trials for cognitive reasons (NOTE: A score of '0' should be given in each of Trials 1, 2, and 3 if the task was administered and the participant was unable to complete the task for cognitive reasons.)","",""
"ADNI1","COCOMND","ADAS","ADAS-Cognitive Behavior","Check each command performed correctly.","T","20","1= Make a fist.; 2=Point to the ceiling, then to the floor.; 3=Put the pencil on top of the card, then put it back.; 4=Put the watch on the other side of the pencil and turn over the card.; 5=Tap each shoulder twice with two fingers, keeping your eyes shut.; 6=None completed correctly.","",""
"ADNI1","COP2COMP","ADAS","ADAS-Cognitive Behavior","If task not administered, check one:","N","1","1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 3=Participant unable for physical reasons;4=Participant unable for cognitive reasons (NOTE: This should only be checked if the task was not administered due to cognitive reasons.)","",""
"ADNI1","COCONSTR","ADAS","ADAS-Cognitive Behavior","Check each figure drawn correctly.","T","20","1= None, attempted but drew no forms correctly.; 2=Circle; 3=Two overlapping rectangles; 4=Rhombus; 5=Cube","",""
"ADNI1","COP3COMP","ADAS","ADAS-Cognitive Behavior","If task not administered, check one:","N","1","1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 3=Participant unable for physical reasons; 4=Participant unable for cognitive reasons (NOTE: This should only be checked if the task was not administered due to cognitive reasons.)","",""
"ADNI1","COT4LIST","ADAS","ADAS-Cognitive Behavior","Check each word correctly recalled.","T","20","1=BUTTER; 2=ARM; 3=SHORE; 4=LETTER; 5=QUEEN; 6=CABIN; 7=POLE; 8=TICKET; 9=GRASS; 10=ENGINE","",""
"ADNI1","COT4TOTL","ADAS","ADAS-Cognitive Behavior","Total","N","2","0..10","",""
"ADNI1","COP4COMP","ADAS","ADAS-Cognitive Behavior","If task not completed, check one:","N","1","1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 4=Participant unable for cognitive reasons (NOTE: A score of '0' should be given if the participant was unable to complete the task for cognitive reasons.)","",""
"ADNI1","CONAME","ADAS","ADAS-Cognitive Behavior","Check each object and finger named correctly.","T","45","1=Flower; 2=Bed; 3=Whistle; 4=Pencil; 5=Rattle; 6=Mask; 7=Scissors; 8=Comb; 9=Wallet; 10=Harmonica; 11=Stethoscope; 12=Tongs; 13=Thumb; 14=Middle; 15=Ring; 16=Index; 17=Pinky; 18=None completed correctly","",""
"ADNI1","COP5COMP","ADAS","ADAS-Cognitive Behavior","If task not administered, check one:","N","1","1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 4=Participant unable for cognitive reasons (NOTE: This should only be checked if the task was not administered due to cognitive reasons.)","",""
"ADNI1","COIDEA","ADAS","ADAS-Cognitive Behavior","Check each step completed correctly.","T","20","1=Fold a letter.; 2=Put letter in envelope.; 3=Seal envelope.; 4=Address envelope.; 5=Indicate where stamp goes.; 6=None completed correctly","",""
"ADNI1","COP6COMP","ADAS","ADAS-Cognitive Behavior","If task not administered, check one:","N","1","1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 3=Participant unable for physical reasons; 4=Participant unable for cognitive reasons (NOTE: This should only be checked if the task was not administered due to cognitive reasons.)","",""
"ADNI1","COORIEN","ADAS","ADAS-Cognitive Behavior","Check each item answered correctly.","T","20","1=Full name; 2=Month; 3=Date; 4=Year; 5=Day; 6=Season; 7=Place; 8=Time of day; 9=None completed correctly","",""
"ADNI1","COP7COMP","ADAS","ADAS-Cognitive Behavior","If task not administered, check one:","N","1","1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 4=Participant unable for cognitive reasons (NOTE: This should only be checked if the task was not administered due to cognitive reasons.)","",""
"ADNI1","CO8NURSE","ADAS","ADAS-Cognitive Behavior","NURSE - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8MAGAZ","ADAS","ADAS-Cognitive Behavior","MAGAZINE - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8WIZRD","ADAS","ADAS-Cognitive Behavior","WIZARD - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8WIZRR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8VAN","ADAS","ADAS-Cognitive Behavior","VAN - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8VANR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8LEPRD","ADAS","ADAS-Cognitive Behavior","LEOPARD - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8LEPRR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8SALE","ADAS","ADAS-Cognitive Behavior","SALE - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8SALER","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8SEA","ADAS","ADAS-Cognitive Behavior","SEA - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8SEAR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8TRAIN","ADAS","ADAS-Cognitive Behavior","TRAIN - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8TRAIR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8COIN","ADAS","ADAS-Cognitive Behavior","COIN - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8COINR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8SHIP","ADAS","ADAS-Cognitive Behavior","SHIP - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8SHIPR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8INST","ADAS","ADAS-Cognitive Behavior","INSTITUTION - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8INSTR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8MAP","ADAS","ADAS-Cognitive Behavior","MAP - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8MAPR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8AXE","ADAS","ADAS-Cognitive Behavior","AXE - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8AXER","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8BOARD","ADAS","ADAS-Cognitive Behavior","BOARD - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8BOARR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8CARRT","ADAS","ADAS-Cognitive Behavior","CARROT - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8CARRR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8MILK","ADAS","ADAS-Cognitive Behavior","MILK - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8MILKR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8VOL","ADAS","ADAS-Cognitive Behavior","VOLUME - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8VOLR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8FORST","ADAS","ADAS-Cognitive Behavior","FOREST - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8FORSR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8ANCHR","ADAS","ADAS-Cognitive Behavior","ANCHOR - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8ANCRR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8GEM","ADAS","ADAS-Cognitive Behavior","GEM - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8GEMR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8CAT","ADAS","ADAS-Cognitive Behavior","CAT - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8CATR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8FUND","ADAS","ADAS-Cognitive Behavior","FUND - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8FUNDR","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8EDGE","ADAS","ADAS-Cognitive Behavior","EDGE - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8EDGER","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","CO8CAKE","ADAS","ADAS-Cognitive Behavior","CAKE - Participant Response","N","1","1=Yes; 0=No","",""
"ADNI1","CO8CAKER","ADAS","ADAS-Cognitive Behavior","Reminder given?","T","20","1=Check here if reminder given","",""
"ADNI1","COP8COMP","ADAS","ADAS-Cognitive Behavior","If task not administered, check one:","N","1","1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 4=Participant unable for cognitive reasons","",""
"ADNI1","COINSTRC","ADAS","ADAS-Cognitive Behavior","Check level of impairment.  Base your answer only on observations made during Word Recognition task (Question #8).","N","1","1=None; 2=Very mild: forgets once; 3=Mild: must be reminded two times; 4=Moderate: must be reminded 3-4 times; 5=Moderately severe: must be reminded 5-6 times; 6=Severe: must be reminded 7 or more times.","",""
"ADNI1","COCOMPRE","ADAS","ADAS-Cognitive Behavior","Check level of impairment.","N","1","1=None: participant understands; 2=Very mild: one or two instances of misunderstanding; 3=Mild 3-5 instances of misunderstanding; 4=Moderate: requires several repetitions and rephrasings; 5=Moderately severe: participant only occasionally responds correctly, i.e., yes-or-no questions; 6=Severe: participant rarely responds to questions appropriately, not due to poverty of speech","",""
"ADNI1","COWRDFND","ADAS","ADAS-Cognitive Behavior","Check one response","N","1","1=None; 2=Very Mild: one or two instances, not clinically significant; 3=Mild: noticeable circumlocution or synonym substitution; 4=Moderate: loss of words without compensation on occasion; 5=Moderately severe: frequent loss of words without compensation; 6=Severe: nearly total loss of content words, speech sounds empty, one-to-two-word utterances","",""
"ADNI1","COLANG","ADAS","ADAS-Cognitive Behavior","Check level of impairment.","N","1","1=None: participant speaks clearly and/or is understandable; 2=Very mild: one instance of lack of understandability; 3=Mild: participant has difficulty <25% of the time; 4=Moderate: participant has difficulty 25-50% of the time; 5=Moderately Severe: participant has difficulty more than 50% of the time; 6=Severe: one- or two-word utterances, fluent but empty speech, mute","",""
"ADNI1","CONMCXLA","ADAS","ADAS-Cognitive Behavior","14a. Number of targets hit (range = 0-49)","N","2","0..49","",""
"ADNI1","CONMCXLB","ADAS","ADAS-Cognitive Behavior","14b. Number of errors","N","2","0..99","",""
"ADNI1","CONMCXLC","ADAS","ADAS-Cognitive Behavior","14c. Number of times reminded of task","N","2","0..99","",""
"ADNI1","COP14CMP","ADAS","ADAS-Cognitive Behavior","If task not administered, check one:","N","1","1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 3=Participant unable for physical reasons; 4=Participant unable for cognitive reasons","",""
"ADNI1","SX","ADAS","ADAS-Cognitive Behavior","","N","10 digits","","",""
"ADNI1","USERID2","ADAS","ADAS-Cognitive Behavior","","T","100 characters","","",""
"ADNI1","USERDATE2","ADAS","ADAS-Cognitive Behavior","Date record last updated","S","100 digits","","",""
"ADNI1","ID","ADASSCORES","ADAS Sub-Scores and Total Scores","Record ID","N","38","""crfname"",""ADAS Sub-Scores and Total Scores"",""indexes"",""adni_adasscores_idx=RID,VISCODE,ENTRY"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE""","",""
"ADNI1","RID","ADASSCORES","ADAS Sub-Scores and Total Scores","Participant roster ID","N","38 digits","","",""
"ADNI1","SITEID","ADASSCORES","ADAS Sub-Scores and Total Scores","Site ID","N","38 digits","","",""
"ADNI1","VISCODE","ADASSCORES","ADAS Sub-Scores and Total Scores","Visit code","T","20 characters","","",""
"ADNI1","ENTRY","ADASSCORES","ADAS Sub-Scores and Total Scores","","N","1 digit","","",""
"ADNI1","VERIFY","ADASSCORES","ADAS Sub-Scores and Total Scores","","N","1 digit","","",""
"ADNI1","USERID","ADASSCORES","ADAS Sub-Scores and Total Scores","","T","100 characters","","",""
"ADNI1","USERDATE","ADASSCORES","ADAS Sub-Scores and Total Scores","Date record created","S","100 digits","","",""
"ADNI1","EXAMDATE","ADASSCORES","ADAS Sub-Scores and Total Scores","","D","10","","",""
"ADNI1","Q1","ADASSCORES","ADAS Sub-Scores and Total Scores","Word Recall","N","5,2","","",""
"ADNI1","Q2","ADASSCORES","ADAS Sub-Scores and Total Scores","Commands","N","1","0..5","",""
"ADNI1","Q3","ADASSCORES","ADAS Sub-Scores and Total Scores","Construction","N","1","0..5","",""
"ADNI1","Q4","ADASSCORES","ADAS Sub-Scores and Total Scores","Delayed Word Recall","N","2","0..10","",""
"ADNI1","Q5","ADASSCORES","ADAS Sub-Scores and Total Scores","Naming","N","1","0..5","",""
"ADNI1","Q6","ADASSCORES","ADAS Sub-Scores and Total Scores","Ideational Praxis","N","1","0..5","",""
"ADNI1","Q7","ADASSCORES","ADAS Sub-Scores and Total Scores","Orientation","N","1","0..8","",""
"ADNI1","Q8","ADASSCORES","ADAS Sub-Scores and Total Scores","Word Recognition","N","2","0..12","",""
"ADNI1","Q9","ADASSCORES","ADAS Sub-Scores and Total Scores","Recall Instructions","N","1","0..5","",""
"ADNI1","Q10","ADASSCORES","ADAS Sub-Scores and Total Scores","Spoken Language","N","1","0..5","",""
"ADNI1","Q11","ADASSCORES","ADAS Sub-Scores and Total Scores","Word Finding","N","1","0..5","",""
"ADNI1","Q12","ADASSCORES","ADAS Sub-Scores and Total Scores","Comprehension","N","1","0..5","",""
"ADNI1","Q14","ADASSCORES","ADAS Sub-Scores and Total Scores","Number Cancellation","N","1","0..5","",""
"ADNI1","TOTAL11","ADASSCORES","ADAS Sub-Scores and Total Scores","Classic 70 point total. Excludes Q4 (Delayed Word Recall) and Q14 (Number Cancellation).","N","5,2","","",""
"ADNI1","TOTALMOD","ADASSCORES","ADAS Sub-Scores and Total Scores","85 point total includingQ4 (Delayed Word Recall) and Q14 (Number Cancellation).","N","5,2","","",""
"ADNI1","SX","ADASSCORES","ADAS Sub-Scores and Total Scores","","N","10 digits","","",""
"ADNI1","USERID2","ADASSCORES","ADAS Sub-Scores and Total Scores","","T","100 characters","","",""
"ADNI1","USERDATE2","ADASSCORES","ADAS Sub-Scores and Total Scores","Date record last updated","S","100 digits","","",""
"ADNI1","ID","ADDCOMM","Additional Comments","Record ID","N","38","""crfname"",""Additional Comments"",""indexes"",""adni_addcomm_idx=RID,VISCODE,ENTRY,RECNO"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE,RECNO""","",""
"ADNI1","RID","ADDCOMM","Additional Comments","Participant roster ID","N","38 digits","","",""
"ADNI1","SITEID","ADDCOMM","Additional Comments","Site ID","N","38 digits","","",""
"ADNI1","VISCODE","ADDCOMM","Additional Comments","Visit code","T","20 characters","","",""
"ADNI1","ENTRY","ADDCOMM","Additional Comments","","N","1 digit","","",""
"ADNI1","VERIFY","ADDCOMM","Additional Comments","","N","1 digit","","",""
"ADNI1","USERID","ADDCOMM","Additional Comments","","T","100 characters","","",""
"ADNI1","USERDATE","ADDCOMM","Additional Comments","Date record created","S","100 digits","","",""
"ADNI1","RECNO","ADDCOMM","Additional Comments","Record Number","N","38","","",""
"ADNI1","EXAMINIT","ADDCOMM","Additional Comments","Examiner Initials","T","3","","",""
"ADNI1","EXAMDATE","ADDCOMM","Additional Comments","Examination Date","D","10","","",""
"ADNI1","CAAPPLY","ADDCOMM","Additional Comments","This Additional Comment applies to:","N","1","1=No specific form/visit; 2=Whole visit packet; 3=One form/assessment (specify)","",""
"ADNI1","CASPECIF","ADDCOMM","Additional Comments","One form/assessment (specify)","T","250","","",""
"ADNI1","CACOMM","ADDCOMM","Additional Comments","Comments:","T","1000","","",""
"ADNI1","SX","ADDCOMM","Additional Comments","","N","10 digits","","",""
"ADNI1","USERID2","ADDCOMM","Additional Comments","","T","100 characters","","",""
"ADNI1","USERDATE2","ADDCOMM","Additional Comments","Date record last updated","S","100 digits","","",""
"ADNI1","RID","ADNIMERGE","Key ADNI tables merged into one table","Participant roster ID","-4","-4","-4","-4",""
"ADNI1","PTID","ADNIMERGE","Key ADNI tables merged into one table","Participant ID","-4","-4","-4","-4",""
"ADNI1","VISCODE","ADNIMERGE","Key ADNI tables merged into one table","Visit code","-4","-4","-4","-4",""
"ADNI1","SITE","ADNIMERGE","Key ADNI tables merged into one table","Site","-4","-4","-4","-4",""
"ADNI1","COLPROT","ADNIMERGE","Key ADNI tables merged into one table","Study protocol of data collection","-4","-4","-4","-4",""
"ADNI1","ORIGPROT","ADNIMERGE","Key ADNI tables merged into one table","Original study protocol","-4","-4","-4","-4",""
"ADNI1","EXAMDATE","ADNIMERGE","Key ADNI tables merged into one table","Examination Date","-4","-4","-4","-4",""
"ADNI1","DX_bl","ADNIMERGE","Key ADNI tables merged into one table","Baseline Dx","-4","-4","-4","-4",""
"ADNI1","AGE","ADNIMERGE","Key ADNI tables merged into one table","Age at baseline","-4","-4","-4","-4",""
"ADNI1","PTGENDER","ADNIMERGE","Key ADNI tables merged into one table","Sex","-4","-4","-4","-4",""
"ADNI1","PTEDUCAT","ADNIMERGE","Key ADNI tables merged into one table","Education","-4","-4","-4","-4",""
"ADNI1","PTETHCAT","ADNIMERGE","Key ADNI tables merged into one table","Ethnicity","-4","-4","-4","-4",""
"ADNI1","PTRACCAT","ADNIMERGE","Key ADNI tables merged into one table","Race","-4","-4","-4","-4",""
"ADNI1","PTMARRY","ADNIMERGE","Key ADNI tables merged into one table","Marital status at baseline","-4","-4","-4","-4",""
"ADNI1","APOE4","ADNIMERGE","Key ADNI tables merged into one table","ApoE4","-4","-4","-4","-4",""
"ADNI1","FDG","ADNIMERGE","Key ADNI tables merged into one table","Average FDG-PET of angular, temporal, and posterior cingulate","-4","-4","-4","-4",""
"ADNI1","PIB","ADNIMERGE","Key ADNI tables merged into one table","Average PIB SUVR of frontal cortex, anterior cingulate, precuneus cortex, and parietal cortex","-4","-4","-4","-4",""
"ADNI1","AV45","ADNIMERGE","Key ADNI tables merged into one table","Average AV45 SUVR of frontal, anterior cingulate, precuneus, and parietal cortex relative to the cerebellum","-4","-4","-4","-4",""
"ADNI1","CDRSB","ADNIMERGE","Key ADNI tables merged into one table","CDR-SB","-4","-4","-4","-4",""
"ADNI1","ADAS11","ADNIMERGE","Key ADNI tables merged into one table","ADAS 11","-4","-4","-4","-4",""
"ADNI1","ADAS13","ADNIMERGE","Key ADNI tables merged into one table","ADAS 13","-4","-4","-4","-4",""
"ADNI1","MMSE","ADNIMERGE","Key ADNI tables merged into one table","MMSE","-4","-4","-4","-4",""
"ADNI1","RAVLT","ADNIMERGE","Key ADNI tables merged into one table","RAVLT (forgetting)","-4","-4","-4","-4",""
"ADNI1","RAVLT_immediate","ADNIMERGE","Key ADNI tables merged into one table","RAVLT (5 sum)","-4","-4","-4","-4",""
"ADNI1","FAQ","ADNIMERGE","Key ADNI tables merged into one table","FAQ","-4","-4","-4","-4",""
"ADNI1","MOCA","ADNIMERGE","Key ADNI tables merged into one table","MOCA","-4","-4","-4","-4",""
"ADNI1","EcogPtMem","ADNIMERGE","Key ADNI tables merged into one table","Participant ECog - Mem","-4","-4","-4","-4",""
"ADNI1","EcogPtLang","ADNIMERGE","Key ADNI tables merged into one table","Participant ECog - Lang","-4","-4","-4","-4",""
"ADNI1","EcogPtVisspat","ADNIMERGE","Key ADNI tables merged into one table","Participant ECog - Vis/Spat","-4","-4","-4","-4",""
"ADNI1","EcogPtPlan","ADNIMERGE","Key ADNI tables merged into one table","Participant ECog - Plan","-4","-4","-4","-4",""
"ADNI1","EcogPtOrgan","ADNIMERGE","Key ADNI tables merged into one table","Participant ECog - Organ","-4","-4","-4","-4",""
